STATISTIC,Statistic,TLIST(M1),Month,C02583V03135,NACE Group,UNIT,VALUE
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,82.5
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,94.2
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,89.7
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,72.6
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,73.7
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,73.9
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,73.1
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,84.4
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,45,Motor trades (45),Base 2015=100,145.5
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,91.6
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,4719,Department stores (4719),Base 2015=100,73.6
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,4730,Retail sale of automotive fuel (4730),Base 2015=100,96.9
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,85
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,4759,Retail sale of furniture and lighting (4759),Base 2015=100,121.3
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,5630,Bars (5630),Base 2015=100,81.3
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,V3970,All retail businesses,Base 2015=100,103.8
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,138.4
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,88.4
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1320,"All retail businesses, excluding motor trades",Base 2015=100,88
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,87.8
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,91.2
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,84.8
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,87.6
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,99
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,77
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,72.2
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,77.2
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,76.2
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,82.1
RSM05C01,Retail Sales Index Value Unadjusted,201502,2015M02,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,89.8
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,45,Motor trades (45),Base 2015=100,142.8
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,96.1
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,4719,Department stores (4719),Base 2015=100,75.5
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,4730,Retail sale of automotive fuel (4730),Base 2015=100,100.1
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,90.4
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,4759,Retail sale of furniture and lighting (4759),Base 2015=100,85.5
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,5630,Bars (5630),Base 2015=100,90.8
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,V3970,All retail businesses,Base 2015=100,104.1
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,136.6
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,89.4
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1320,"All retail businesses, excluding motor trades",Base 2015=100,89.5
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,88.7
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,95.8
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,82.2
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,93.2
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,85.1
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,80.3
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,80.5
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,75.6
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,75.7
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,74.9
RSM05C01,Retail Sales Index Value Unadjusted,201503,2015M03,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,89
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,45,Motor trades (45),Base 2015=100,122.3
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,101.4
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,4719,Department stores (4719),Base 2015=100,88.9
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,4730,Retail sale of automotive fuel (4730),Base 2015=100,103.9
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,116.1
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,4759,Retail sale of furniture and lighting (4759),Base 2015=100,80.9
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,5630,Bars (5630),Base 2015=100,88.4
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,V3970,All retail businesses,Base 2015=100,101.7
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,119.6
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,94.3
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1320,"All retail businesses, excluding motor trades",Base 2015=100,94
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,93.6
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,100.7
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,87.2
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,94.4
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,89
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,79.6
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,91.9
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,75
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,74.5
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,76.9
RSM05C01,Retail Sales Index Value Unadjusted,201504,2015M04,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,91.6
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,45,Motor trades (45),Base 2015=100,91.9
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,99.1
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,4719,Department stores (4719),Base 2015=100,86.4
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,4730,Retail sale of automotive fuel (4730),Base 2015=100,106.3
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,113.4
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,4759,Retail sale of furniture and lighting (4759),Base 2015=100,75.5
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,5630,Bars (5630),Base 2015=100,101.6
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,V3970,All retail businesses,Base 2015=100,93.5
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,94
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,93.6
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1320,"All retail businesses, excluding motor trades",Base 2015=100,94.1
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,92.7
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,98.7
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,87.3
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,94.7
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,88
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,86.6
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,91.5
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,79
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,79.5
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,76.5
RSM05C01,Retail Sales Index Value Unadjusted,201505,2015M05,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,90.9
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,45,Motor trades (45),Base 2015=100,71.7
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,98
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,4719,Department stores (4719),Base 2015=100,98.4
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,4730,Retail sale of automotive fuel (4730),Base 2015=100,111.3
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,111.4
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,4759,Retail sale of furniture and lighting (4759),Base 2015=100,97.7
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,5630,Bars (5630),Base 2015=100,97.1
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,V3970,All retail businesses,Base 2015=100,90.3
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,77.5
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,97.3
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1320,"All retail businesses, excluding motor trades",Base 2015=100,97.3
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,96.3
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,97.8
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,94.9
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,96
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,98
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,87.8
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,100.2
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,80.8
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,77.1
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,97.8
RSM05C01,Retail Sales Index Value Unadjusted,201506,2015M06,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,97.6
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,45,Motor trades (45),Base 2015=100,140.8
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,99.8
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,4719,Department stores (4719),Base 2015=100,90.3
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,4730,Retail sale of automotive fuel (4730),Base 2015=100,101.8
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,107.8
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,4759,Retail sale of furniture and lighting (4759),Base 2015=100,77.9
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,5630,Bars (5630),Base 2015=100,110
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,V3970,All retail businesses,Base 2015=100,108.9
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,135.1
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,96.1
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1320,"All retail businesses, excluding motor trades",Base 2015=100,96.9
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,95.7
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,99.8
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,92
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,100.3
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,87.5
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,85.7
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,102
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,84.2
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,79.4
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,106.1
RSM05C01,Retail Sales Index Value Unadjusted,201507,2015M07,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,95.8
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,45,Motor trades (45),Base 2015=100,91.7
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,97.5
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,4719,Department stores (4719),Base 2015=100,90.1
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,4730,Retail sale of automotive fuel (4730),Base 2015=100,99.5
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,101.1
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,4759,Retail sale of furniture and lighting (4759),Base 2015=100,102.7
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,5630,Bars (5630),Base 2015=100,116
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,V3970,All retail businesses,Base 2015=100,96.5
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,92.8
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,97.3
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1320,"All retail businesses, excluding motor trades",Base 2015=100,98.3
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,97.1
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,97.5
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,96.7
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,98
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,101.3
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,99.4
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,105.3
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,81.5
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,73
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,120.4
RSM05C01,Retail Sales Index Value Unadjusted,201508,2015M08,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,97.7
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,45,Motor trades (45),Base 2015=100,85.4
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,95.9
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,4719,Department stores (4719),Base 2015=100,88.1
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,4730,Retail sale of automotive fuel (4730),Base 2015=100,101.7
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,95.7
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,4759,Retail sale of furniture and lighting (4759),Base 2015=100,107.1
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,5630,Bars (5630),Base 2015=100,106.6
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,V3970,All retail businesses,Base 2015=100,93.9
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,87.7
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,96.5
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1320,"All retail businesses, excluding motor trades",Base 2015=100,97.1
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,96.1
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,95.7
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,96.5
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1360,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base 2015=100,94.3
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1370,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base 2015=100,102.7
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1380,"Retail sale of electrical goods (4741 to 4743,4754)",Base 2015=100,101.6
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1390,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base 2015=100,93.6
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1400,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base 2015=100,94.7
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1410,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base 2015=100,90
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1420,"Retail sale of books, newspapers and stationery (4761,4762)",Base 2015=100,116.3
RSM05C01,Retail Sales Index Value Unadjusted,201509,2015M09,X1430,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base 2015=100,94.1
RSM05C01,Retail Sales Index Value Unadjusted,201510,2015M10,45,Motor trades (45),Base 2015=100,63.7
